Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
,,,,,,,,,,,loarnt,lozint,LOARNT,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,2.945,0,49,49,110,1,,
,,,,,,,,,,,match,macth,MATCH,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.83,0,50,50,35,1,,
,,,,,,,,,,,thirns,thowns,THIRNS,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.085,0,51,51,148,1,,
,,,,,,,,,,,robber,ramber,ROBBER,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,2.233,0,52,52,54,1,,
,,,,,,,,,,,dored,droed,DORED,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.523,0,53,53,96,1,,
,,,,,,,,,,,sturfish,stonfish,STURFISH,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.944,0,54,54,139,1,,
,,,,,,,,,,,wardrobe,wardrile,WARDROBE,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.931,0,55,55,75,1,,
,,,,,,,,,,,swallow,swaldaw,SWALLOW,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.926,0,56,56,69,1,,
,,,,,,,,,,,alphabet,aplhabet,ALPHABET,TL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.427,0,57,57,1,1,,
,,,,,,,,,,,forty,fotry,FORTY,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.845,0,58,58,21,1,,
,,,,,,,,,,,holiday,holiady,HOLIDAY,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.696,0,59,59,25,1,,
,,,,,,,,,,,rolief,roleif,ROLIEF,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.733,0,60,60,125,1,,
,,,,,,,,,,,plastic,prostic,PLASTIC,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.895,0,61,61,47,1,,
,,,,,,,,,,,asbrunaut,absrunaut,ASBRUNAUT,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.293,0,62,62,80,1,,
